Sort,ROW_ID,COL_ID,Riv,AreaID,DisName
0,94,79,1,0,Aberdeen-American Falls
1,93,78,1,0,Aberdeen-American Falls
2,94,80,1,0,Aberdeen-American Falls
3,92,78,0,0,Aberdeen-American Falls
4,92,79,0,0,Aberdeen-American Falls
5,91,79,0,0,Aberdeen-American Falls
6,91,80,0,0,Aberdeen-American Falls
7,90,80,0,0,Aberdeen-American Falls
8,89,80,0,0,Aberdeen-American Falls
9,89,81,0,0,Aberdeen-American Falls
10,88,81,0,0,Aberdeen-American Falls
11,87,81,0,0,Aberdeen-American Falls
12,87,82,0,0,Aberdeen-American Falls
13,86,82,0,0,Aberdeen-American Falls
14,86,83,0,0,Aberdeen-American Falls
15,85,83,0,0,Aberdeen-American Falls
16,84,83,0,0,Aberdeen-American Falls
17,97,105,0,0,Aberdeen-American Falls
18,84,84,0,0,Aberdeen-American Falls
19,83,84,0,0,Aberdeen-American Falls
20,96,106,0,0,Aberdeen-American Falls
21,82,84,0,0,Aberdeen-American Falls
22,95,106,0,0,Aberdeen-American Falls
23,82,85,0,0,Aberdeen-American Falls
24,95,107,0,0,Aberdeen-American Falls
25,81,85,0,0,Aberdeen-American Falls
26,94,107,0,0,Aberdeen-American Falls
27,81,86,0,0,Aberdeen-American Falls
28,80,85,0,0,Aberdeen-American Falls
29,93,107,0,0,Aberdeen-American Falls
30,80,86,0,0,Aberdeen-American Falls
31,93,108,0,0,Aberdeen-American Falls
32,79,86,0,0,Aberdeen-American Falls
33,92,108,0,0,Aberdeen-American Falls
34,78,86,0,0,Aberdeen-American Falls
35,92,109,1,0,Aberdeen-American Falls
36,93,111,0,0,Aberdeen-American Falls
37,78,87,0,0,Aberdeen-American Falls
38,92,110,0,0,Aberdeen-American Falls
39,92,111,0,0,Aberdeen-American Falls
40,77,87,0,0,Aberdeen-American Falls
41,91,110,1,0,Aberdeen-American Falls
42,90,109,1,0,Aberdeen-American Falls
43,96,119,0,0,Aberdeen-American Falls
44,77,88,0,0,Aberdeen-American Falls
45,91,111,0,0,Aberdeen-American Falls
46,95,118,0,0,Aberdeen-American Falls
47,90,110,1,0,Aberdeen-American Falls
48,89,109,1,0,Aberdeen-American Falls
49,95,119,1,0,Aberdeen-American Falls
50,76,88,0,0,Aberdeen-American Falls
51,90,111,1,0,Aberdeen-American Falls
52,89,110,1,0,Aberdeen-American Falls
53,90,112,0,0,Aberdeen-American Falls
54,94,119,1,0,Aberdeen-American Falls
55,75,88,0,0,Aberdeen-American Falls
56,90,113,0,0,Aberdeen-American Falls
57,88,110,1,0,Aberdeen-American Falls
58,75,89,0,0,Aberdeen-American Falls
59,89,112,1,0,Aberdeen-American Falls
60,90,114,1,0,Aberdeen-American Falls
61,88,111,1,0,Aberdeen-American Falls
62,89,113,1,0,Aberdeen-American Falls
63,87,110,1,0,Aberdeen-American Falls
64,90,115,1,0,Aberdeen-American Falls
65,74,89,0,0,Aberdeen-American Falls
66,87,111,1,0,Aberdeen-American Falls
67,90,116,1,0,Aberdeen-American Falls
68,91,118,0,0,Aberdeen-American Falls
69,73,89,0,0,Aberdeen-American Falls
70,90,117,1,0,Aberdeen-American Falls
71,86,111,1,0,Aberdeen-American Falls
72,73,90,0,0,Aberdeen-American Falls
73,90,118,1,0,Aberdeen-American Falls
74,86,112,1,0,Aberdeen-American Falls
75,90,119,1,0,Aberdeen-American Falls
76,72,90,0,0,Aberdeen-American Falls
77,86,113,1,0,Aberdeen-American Falls
78,85,112,1,0,Aberdeen-American Falls
79,72,91,0,0,Aberdeen-American Falls
80,86,114,1,0,Aberdeen-American Falls
81,85,113,1,0,Aberdeen-American Falls
82,86,115,1,0,Aberdeen-American Falls
83,71,91,0,0,Aberdeen-American Falls
84,85,114,1,0,Aberdeen-American Falls
85,85,115,1,0,Aberdeen-American Falls
86,70,91,0,0,Aberdeen-American Falls
87,85,116,1,0,Aberdeen-American Falls
88,86,118,1,0,Aberdeen-American Falls
89,70,92,0,0,Aberdeen-American Falls
90,85,117,1,0,Aberdeen-American Falls
91,85,118,1,0,Aberdeen-American Falls
92,69,92,0,0,Aberdeen-American Falls
93,85,119,0,0,Aberdeen-American Falls
94,68,92,0,0,Aberdeen-American Falls
95,68,93,0,0,Aberdeen-American Falls
96,84,120,0,0,Aberdeen-American Falls
97,67,93,0,0,Aberdeen-American Falls
98,67,94,0,0,Aberdeen-American Falls
99,66,94,0,0,Aberdeen-American Falls
100,82,121,0,0,Aberdeen-American Falls
101,67,97,0,0,Aberdeen-American Falls
102,65,94,0,0,Aberdeen-American Falls
103,68,99,0,0,Aberdeen-American Falls
104,71,104,0,0,Aberdeen-American Falls
105,66,96,0,0,Aberdeen-American Falls
106,69,101,0,0,Aberdeen-American Falls
107,67,98,0,0,Aberdeen-American Falls
108,70,103,0,0,Aberdeen-American Falls
109,65,95,0,0,Aberdeen-American Falls
110,68,100,0,0,Aberdeen-American Falls
111,71,105,0,0,Aberdeen-American Falls
112,66,97,0,0,Aberdeen-American Falls
113,69,102,0,0,Aberdeen-American Falls
114,67,99,0,0,Aberdeen-American Falls
115,70,104,0,0,Aberdeen-American Falls
116,65,96,0,0,Aberdeen-American Falls
117,68,101,0,0,Aberdeen-American Falls
118,80,121,0,0,Aberdeen-American Falls
